Game,Score,Steps,Length
916,26,625,29
917,15,331,18
918,35,846,38
919,64,1732,67
920,32,810,35
921,114,3662,117
922,117,4209,120
923,78,2217,81
924,103,3473,106
925,62,1492,65
926,12,251,15
927,39,985,42
928,62,1649,65
929,37,820,40
930,38,929,41
931,13,410,16
932,64,1792,67
933,46,1278,49
934,46,1330,49
935,65,1810,68
936,54,1509,57
937,44,1156,47
938,75,2203,78
939,84,2608,87
940,42,1012,45
941,68,1915,71
942,52,1376,55
943,61,1526,64
944,59,1592,62
945,44,1079,47
946,78,2066,81
947,50,1374,53
948,59,1627,62
949,14,274,17
950,50,1335,53
951,44,1131,47
952,53,1387,56
953,49,1147,52
954,44,1089,47
955,47,1297,50
956,30,752,33
957,51,1424,54
958,30,825,33
959,38,1029,41
960,58,1644,61
961,84,2457,87
962,46,1122,49
963,51,1243,54
964,59,1529,62
965,98,2948,101
966,37,992,40
967,72,1845,75
968,49,1307,52
969,52,1506,55
970,71,1980,74
971,82,2248,85
972,112,4353,115
973,76,2157,79
974,50,1355,53
975,49,1426,52
976,31,757,34
977,53,1455,56
978,38,773,41
979,27,696,30
980,61,1739,64
981,48,1336,51
982,49,1230,52
983,50,1546,53
984,57,1811,60
985,44,1211,47
986,24,583,27
987,51,1483,54
988,101,3081,104
989,31,695,34
990,28,705,31
991,70,1861,73
992,67,1845,70
993,20,439,23
994,35,975,38
995,48,1194,51
996,56,1459,59
997,107,3456,110
998,87,2593,90
999,56,1470,59
1000,21,511,24
1,72,2022,75
2,63,1678,66
3,45,1220,48
4,47,1194,50
5,51,1136,54
